timestamp,value
1612835220,3.4667
1612835280,2.8667
1612835340,1.8
1612835400,2.45
1612835460,2.6167
1612835520,1.7049
1612835580,1.3898
1612835640,3.0167
1612835700,3.2333
1612835760,1.8833
1612835820,1.2167
1612835880,1.6167
1612835940,1.4
1612836000,1.4333
1612836060,1.8667
1612836120,1.25
1612836180,1.3
1612836240,2.7541
1612836300,3.3729
1612836360,3.0167
1612836420,2.45
1612836480,2.0833
1612836540,2.9167
1612836600,3.5167
1612836660,3.2951
1612836720,2.2881
1612836780,2.6667
1612836840,3.2333
1612836900,2.2333
1612836960,2.2833
1612837020,1.85
1612837080,2.7167000000000003
1612837140,3.3499999999999996
1612837200,3.85
1612837260,3.3833
1612837320,2.9833
1612837380,3.1475
1612837440,2.2881
1612837500,1.85
1612837560,2.25
1612837620,2.4167
1612837680,1.55
1612837740,2.2
1612837800,2.6
1612837860,2.3667
1612837920,2.1167
1612837980,2.9
1612838040,2.7833
1612838100,1.6721
1612838160,2.9322
1612838220,3.3667
1612838280,2.7333
1612838340,2.6167
1612838400,2.2667
1612838460,1.4667
1612838520,2.0
1612838580,1.8814
1612838640,2.1667
1612838700,1.8333
1612838760,2.2
1612838820,1.8833
1612838880,3.7167
1612838940,3.7377
1612839000,2.4915
1612839060,1.9
1612839120,2.9667
1612839180,3.0164
1612839240,1.9322
1612839300,1.4667
1612839360,1.2333
1612839420,1.75
1612839480,2.5667
1612839540,3.1167
1612839600,1.9833
1612839660,1.25
1612839720,1.0333
1612839780,1.6
1612839840,1.8033
1612839900,1.2373
1612839960,1.85
1612840020,1.9
1612840080,0.9667
1612840140,2.2667
1612840200,2.9
1612840260,2.7705
1612840320,1.8644
1612840380,2.25
1612840440,2.0333
1612840500,1.45
1612840560,1.4
1612840620,1.082
1612840680,3.2542000000000004
1612840740,3.5
1612840800,3.25
1612840860,2.1167
1612840920,0.8833
1612840980,1.2833
1612841040,2.2295
1612841100,1.9153
1612841160,2.25
1612841220,2.8833
1612841280,2.9333
1612841340,2.5833
1612841400,1.4833
1612841460,1.5246
1612841520,2.6271
1612841580,3.3833
1612841640,3.2166999999999994
1612841700,1.9333
1612841760,1.3
1612841820,2.55
1612841880,2.6833
1612841940,2.8525
1612842000,2.2542
1612842060,1.5
1612842120,2.1833
1612842180,2.0667
1612842240,3.25
1612842300,2.6557
1612842360,1.7119
1612842420,0.95
1612842480,1.8833
1612842540,2.7833
1612842600,2.1333
1612842660,2.1833
1612842720,2.6833
1612842780,2.3667
1612842840,1.8333
1612842900,1.4333
1612842960,1.4833
1612843020,1.0167
1612843080,2.2
1612843140,2.6667
1612843200,2.05
1612843260,1.75
1612843320,1.95
1612843380,2.4167
1612843440,2.2667
1612843500,2.0167
1612843560,1.541
1612843620,1.5593
1612843680,2.2
1612843740,2.3167
1612843800,1.7167
1612843860,1.5
1612843920,1.5833
1612843980,2.1148
1612844040,1.7797
1612844100,1.6
1612844160,1.3667
1612844220,1.7167
1612844280,2.3333
1612844340,2.2167
1612844400,2.1803
1612844460,2.1017
1612844520,1.5
1612844580,1.6667
1612844640,1.9
1612844700,2.0833
1612844760,1.9
1612844820,1.9836
1612844880,1.661
1612844940,2.0167
1612845000,2.3167
